Date,MSTR_Close,BTC-USD_Close,BTC_Purchased,Total_BTC,Total_Investment_USD,Total_Assets,Total_Liabilities,Gross_Profit,MSTR_Market_Cap_USD,BTC_Holdings_Value_USD,BTC_to_Market_Cap_Ratio,Financial_Leverage_Ratio,Net_Assets_USD,BTC_to_Net_Assets_Ratio,Gross_Profit_Margin,Year
2020-10-19,16.0,11742,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3003564951.0,449132919.0,0.1495,,,,0.03529,2020
2020-10-20,16.0,11916,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3093778040.0,455799812.0,0.1473,,,,0.03426,2020
2020-10-21,18.0,12823,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3312997656.0,490506121.0,0.1481,,,,0.032,2020
2020-10-22,18.0,12965,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3349595395.0,495945353.0,0.1481,,,,0.03165,2020
2020-10-23,18.0,12931,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3372468895.0,494631369.0,0.1467,,,,0.03143,2020
2020-10-24,18.0,13108,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3372468895.0,501383390.0,0.1487,,,,0.03143,2020
2020-10-25,18.0,13031,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3372468895.0,498442398.0,0.1478,,,,0.03143,2020
2020-10-26,17.0,13075,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3202290000.0,500128237.0,0.1562,,,,0.0331,2020
2020-10-27,17.0,13654,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3212903407.0,522273867.0,0.1626,,,,0.03299,2020
2020-10-28,16.0,13271,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2967150447.0,507626657.0,0.1711,,,,0.03572,2020
2020-10-29,16.0,13437,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,2963673491.0,513999017.0,0.1734,,,,0.03577,2020
2020-10-30,16.0,13546,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3057180650.0,518154484.0,0.1695,,,,0.03467,2020
2020-10-31,16.0,13780,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3057180650.0,527123063.0,0.1724,,,,0.03467,2020
2020-11-01,16.0,13737,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3057180650.0,525444433.0,0.1719,,,,0.03467,2020
2020-11-02,16.0,13550,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3048031040.0,518306214.0,0.17,,,,0.03478,2020
2020-11-03,17.0,13950,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3146478604.0,533599004.0,0.1696,,,,0.03369,2020
2020-11-04,17.0,14133,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3157092011.0,540614293.0,0.1712,,,,0.03358,2020
2020-11-05,18.0,15579,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3324525849.0,595929210.0,0.1793,,,,0.03188,2020
2020-11-06,18.0,15565,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3396623306.0,595394942.0,0.1753,,,,0.03121,2020
2020-11-07,18.0,14833,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3396623306.0,567391086.0,0.167,,,,0.03121,2020
2020-11-08,18.0,15479,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3396623306.0,592093452.0,0.1743,,,,0.03121,2020
2020-11-09,18.0,15332,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3385460887.0,586461065.0,0.1732,,,,0.03131,2020
2020-11-10,18.0,15290,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3406138690.0,584877014.0,0.1717,,,,0.03112,2020
2020-11-11,19.0,15701,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3516297335.0,600576249.0,0.1708,,,,0.03015,2020
2020-11-12,18.0,16276,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3420777716.0,622570148.0,0.182,,,,0.03099,2020
2020-11-13,19.0,16317,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3518310144.0,624156178.0,0.1774,,,,0.03013,2020
2020-11-14,19.0,16068,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3518310144.0,614606304.0,0.1747,,,,0.03013,2020
2020-11-15,19.0,15955,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3518310144.0,610301236.0,0.1735,,,,0.03013,2020
2020-11-16,20.0,16716,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3731674219.0,639391258.0,0.1713,,,,0.02841,2020
2020-11-17,20.0,17645,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3809810104.0,674936789.0,0.1772,,,,0.02782,2020
2020-11-18,21.0,17804,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3896912361.0,681003224.0,0.1748,,,,0.0272,2020
2020-11-19,21.0,17817,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,3972852548.0,681503686.0,0.1715,,,,0.02668,2020
2020-11-20,22.0,18621,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,4064346548.0,712265277.0,0.1752,,,,0.02608,2020
2020-11-21,22.0,18642,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,4064346548.0,713065390.0,0.1754,,,,0.02608,2020
2020-11-22,22.0,18370,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,4064346548.0,702652574.0,0.1729,,,,0.02608,2020
